Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-05-12;21.6987;21.8;21.4353;21.654;61759425
2017-05-15;21.2253;21.3467;20.8353;21.0587;114112695
2017-05-16;21.1727;21.3373;21.0093;21.134;62129535
2017-05-17;20.9593;20.9753;20.3667;20.4;100441095
2017-05-18;20.4667;20.9293;20.354;20.8707;84807015
2017-05-19;21.0333;21.1;20.68;20.722;69789975
2017-05-22;20.8533;20.958;20.4533;20.69;64874430
2017-05-23;20.6973;20.7153;20.232;20.2573;64728300
2017-05-24;20.434;20.7333;20.36;20.6813;75554790
2017-05-25;20.7347;21.1313;20.5207;21.122;75060570
2017-05-26;21.152;21.6993;21.0873;21.676;116879550
2017-05-30;21.7333;22.4187;21.7173;22.34;116589435
2017-05-31;22.5127;22.8593;22.344;22.734;149068335
2017-06-01;22.9333;22.992;22.486;22.6913;114038745
2017-06-02;22.6513;22.8587;22.3953;22.6567;83754960
2017-06-05;22.5667;23.2293;22.2807;23.1547;101557740
2017-06-06;22.98;23.9663;22.6647;23.52;165890790
2017-06-07;23.756;24.0333;23.676;23.9767;140282820
2017-06-08;24.25;24.7933;24.0147;24.6667;135450780
2017-06-09;24.9613;25.1247;23.6533;23.8213;258773760
2017-06-12;23.866;24.3;23.3747;23.934;157623915
2017-06-13;24.508;25.0667;24.4407;25.0633;176671665
2017-06-14;25.4057;25.6167;25.0873;25.3773;191753370
2017-06-15;24.8333;25.0307;24.4327;25.0227;156241320
2017-06-16;25.1983;25.2007;24.6733;24.76;95255670
2017-06-19;25;25.1133;24.52;24.6533;97093920
2017-06-20;25.1113;25.2587;24.6487;24.816;111324570
2017-06-21;24.9567;25.1327;24.5347;25.0933;73848150
2017-06-22;25.1993;25.6667;24.9047;25.5073;112714230
2017-06-23;25.4967;25.7993;25.2897;25.5633;96399990
2017-06-26;25.7793;25.7967;24.8733;25.166;98964045
2017-06-27;25.0933;25.0933;24.1347;24.158;104699310
2017-06-28;24.4453;24.7827;24.168;24.7493;94397430
2017-06-29;24.7073;24.7333;23.6067;24.05;123068280
2017-06-30;24.2473;24.451;23.9747;24.1073;87402270
2017-07-03;24.6827;24.7567;23.4333;23.5;94581015
2017-07-05;23.1467;23.1493;21.7553;21.806;255089445
2017-07-06;21.1507;21.386;20.42;20.5887;289139310
2017-07-07;20.9;21.1333;20.492;20.8813;212023380
2017-07-10;20.86;21.196;20.2087;21.07;206704020
2017-07-11;21.0667;21.8187;20.9533;21.8147;172921395
2017-07-12;22.0267;22.2067;21.6333;21.968;154857645
2017-07-13;22.0073;22.1067;21.3313;21.5607;128746290
2017-07-14;21.546;21.8947;21.4147;21.852;84120645
2017-07-17;21.7027;21.8067;20.8967;21.3047;147451170
2017-07-18;21.1667;21.942;21.044;21.8827;95483265
2017-07-19;21.882;22.11;21.548;21.684;95233305
2017-07-20;21.7933;22.0147;21.6133;21.9947;77188215
2017-07-21;21.964;22.084;21.72;21.8933;73076625
2017-07-24;22.016;22.8933;22.0007;22.8347;128985165
2017-07-25;23;23.04;22.2767;22.64;104701695
2017-07-26;22.6907;23.0333;22.5413;22.9233;72157785
2017-07-27;23.0667;23.1667;21.7527;22.2973;124297425
2017-07-28;22.4593;22.64;22.1673;22.338;73095795
2017-07-31;22.3667;22.766;21.4027;21.5647;127903995
2017-08-01;21.5333;21.63;21.0753;21.3047;124317210
2017-08-02;21.2627;21.808;20.748;21.726;181369545
2017-08-03;23.022;23.3333;22.8767;23.1383;202895400
2017-08-04;23.1333;23.818;22.8867;23.794;138577800
